Timestamp(ns);Rotation_X(rad);Rotation_Y(rad);Rotation_Z(rad);Position_X(m);Position_Y(m);Position_Z(m);
3994648254615; 0.02; 0.08; 0.04; 0.00; 0.01; 0.00;
3994664835152; 0.02; 0.08; 0.04; 0.00; 0.01; 0.00;
3994681700079; 0.02; 0.08; 0.04; 0.00; 0.01; 0.00;
3994714872700; 0.02; 0.08; 0.03; 0.00; 0.01; 0.00;
3994731666636; 0.02; 0.08; 0.03; 0.00; 0.01; 0.00;
3994748335270; 0.03; 0.09; 0.03; 0.00; 0.01; 0.00;
3994764864917; 0.03; 0.09; 0.03; 0.00; 0.01; 0.00;
3994781504898; 0.03; 0.09; 0.03; 0.00; 0.01; 0.00;
3994798465191; 0.03; 0.09; 0.02; 0.00; 0.01; 0.00;
3994831490700; 0.04; 0.09; 0.02; 0.00; 0.01; 0.00;
3994848323125; 0.04; 0.10; 0.02; 0.00; 0.01; 0.00;
3994864888267; 0.04; 0.10; 0.02; 0.00; 0.01; 0.00;
3994881484200; 0.04; 0.10; 0.02; 0.00; 0.01; 0.00;
3994898079705; 0.04; 0.10; 0.03; 0.00; 0.01; 0.00;
3994914917689; 0.04; 0.10; 0.03; 0.00; 0.01; -0.00;
3994931742417; 0.04; 0.10; 0.03; 0.00; 0.01; -0.00;
3994964903064; 0.04; 0.10; 0.03; 0.00; 0.01; -0.00;
3994981569559; 0.04; 0.11; 0.03; 0.00; 0.01; -0.00;
3994998169769; 0.04; 0.11; 0.03; 0.00; 0.01; -0.00;
3995014685303; 0.04; 0.11; 0.03; 0.00; 0.01; -0.00;
3995031479239; 0.04; 0.11; 0.03; 0.00; 0.01; -0.00;
3995048151294; 0.05; 0.11; 0.03; 0.00; 0.01; -0.00;
3995081504812; 0.04; 0.11; 0.03; 0.00; 0.01; -0.00;
3995098154202; 0.05; 0.11; 0.03; 0.00; 0.01; -0.00;
3995114771945; 0.05; 0.11; 0.03; 0.00; 0.01; -0.00;
3995131565881; 0.05; 0.11; 0.03; 0.00; 0.01; -0.00;
3995148187473; 0.05; 0.11; 0.03; 0.00; 0.01; -0.00;
3995164701297; 0.05; 0.11; 0.03; 0.00; 0.01; -0.00;
3995181476844; 0.05; 0.11; 0.03; 0.00; 0.01; -0.00;
3995214775623; 0.05; 0.11; 0.03; 0.00; 0.01; -0.00;
3995231360864; 0.05; 0.11; 0.03; 0.00; 0.01; -0.00;
3995248193289; 0.05; 0.11; 0.03; 0.00; 0.01; -0.00;
